organic_result_title,organic_result_link,citation_title,citation_snippet
Returns to education in Australia,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1759-3441.2008.tb01040.x,Returns to education in Australia,"Leigh, Andrew. ""Returns to education in Australia."" Economic Papers: A journal of applied economics and policy 27, no. 3 (2008): 233-249."
Returns to education in developed countries,https://www.sciencedirect.com/science/article/pii/B9780128153918000033,Returns to education in developed countries,"Gunderson, Morley, and Philip Oreopolous. ""Returns to education in developed countries."" In The economics of education, pp. 39-51. Academic Press, 2020."
The Return to Schooling and Experience and the Ability Bias in Structural Models: A Survey,http://legacy.iza.org/en/papers/54_25052005.pdf,The Return to Schooling and Experience and the Ability Bias in Structural Models: A Survey,"Belzil, Christian. ""The Return to Schooling and Experience and the Ability Bias in Structural Models: A Survey."" Centre National de Recherche Scientifique (GATE, Ecully, France), and Forschungsinstitut zur Zukunft der Arbeit, IZA (2005)."
The causal effect of education on earnings,https://www.sciencedirect.com/science/article/pii/S1573446399030114,The causal effect of education on earnings,"Card, David. ""The causal effect of education on earnings."" Handbook of labor economics 3 (1999): 1801-1863."
Returns to investment in education: a decennial review of the global literature,https://www.tandfonline.com/doi/abs/10.1080/09645292.2018.1484426,Returns to investment in education: a decennial review of the global literature,"Psacharopoulos, George, and Harry Anthony Patrinos. ""Returns to investment in education: a decennial review of the global literature."" Education Economics 26, no. 5 (2018): 445-458."
The returns to education: Microeconomics,https://onlinelibrary.wiley.com/doi/abs/10.1111/1467-6419.00191,The returns to education: Microeconomics,"Harmon, Colm, Hessel Oosterbeek, and Ian Walker. ""The returns to education: Microeconomics."" Journal of economic surveys 17, no. 2 (2003): 115-156."
Evolution of private returns to tertiary education during transition: evidence from Slovenia,https://www.tandfonline.com/doi/abs/10.1080/14631377.2013.813147,Evolution of private returns to tertiary education during transition: evidence from Slovenia,"Bartolj, Tjaša, Aleš Ahčan, Aljoša Feldin, and Sašo Polanec. ""Evolution of private returns to tertiary education during transition: evidence from Slovenia."" Post-Communist Economies 25, no. 3 (2013): 407-424."
Private returns to an university education: An instrumental variables approach,https://www.jstor.org/stable/29734986,Private returns to an university education: An instrumental variables approach,"Salas-Velasco, Manuel. ""Private returns to an university education: An instrumental variables approach."" Higher Education (2006): 411-438."
Returns to investment in education,https://openknowledge.worldbank.org/handle/10986/30154,Returns to investment in education,"Psacharopoulos, George, and Harry Anthony Patrinos. ""Returns to investment in education."" (2018)."
The economic returns to schooling: Evidence from Chinese twins,https://core.ac.uk/download/pdf/48538592.pdf,The economic returns to schooling: Evidence from Chinese twins,"Ning, M. A. ""The economic returns to schooling: Evidence from Chinese twins."" PhD diss., The Chinese University of Hong Kong, 2005."
Dynamic rates of return to education in the US,https://www.sciencedirect.com/science/article/pii/S0272775799000679,Dynamic rates of return to education in the US,"Arias, Omar, and Walter W. McMahon. ""Dynamic rates of return to education in the US."" Economics of Education Review 20, no. 2 (2001): 121-138."
Education and earnings in Europe: A cross country analysis of the returns to education,https://books.google.com/books?hl=en&lr=&id=xHdLezAGFFMC&oi=fnd&pg=PP13&dq=(%22ability+bias%22+OR+%22intelligence+bias%22)+AND+(%22private+returns%22)+AND+(%22income%22+OR+%22earnings%22)+AND+(%22schooling%22+OR+%22education%22)&ots=AMWBbfJpWa&sig=HzNyY_GdLkNjo-PvjNkJ8XDbCMo,Education and earnings in Europe: A cross country analysis of the returns to education,"Harmon, Colm, Ian Walker, and Niels C. Westergærd-Nielsen, eds. Education and earnings in Europe: A cross country analysis of the returns to education. Edward Elgar Publishing, 2001."
Estimating private returns to education in Mexico,https://www.scielo.cl/scielo.php?pid=S0719-04332012000100001&script=sci_arttext,Estimating private returns to education in Mexico,"Harberger, Arnold C., and Sylvia Guillermo-Peón. ""Estimating private returns to education in Mexico."" Latin american journal of economics 49, no. 1 (2012): 1-35."
Rewards to education in the tourism sector: one step ahead,https://journals.sagepub.com/doi/pdf/10.5367/000000010790872033,Rewards to education in the tourism sector: one step ahead,"Lillo-Bañuls, Adelaida, and José M. Casado-Díaz. ""Rewards to education in the tourism sector: one step ahead."" Tourism Economics 16, no. 1 (2010): 11-23."
Evolution of private returns to schooling over the business cycle in a transition economy,https://www.emerald.com/insight/content/doi/10.1108/IJM-11-2019-0498/full/html,Evolution of private returns to schooling over the business cycle in a transition economy,"Wincenciak, Leszek. ""Evolution of private returns to schooling over the business cycle in a transition economy."" International Journal of Manpower 41, no. 8 (2020): 1307-1322."
