Keyword,obs.n.,effect_include,study,publication_year,publication_year_log,effect_original,SE_original,t-stat,method,orher_method,OLS,HLM,95%_lower_original,95%_upper_original,95%_lower,95%_upper,effect,standard_error,t_statistics,AA_SD,lang,math,science,GAA,SES_SD,classlevel_avgSES,SES_variable_type,SES_resources,SES_pareduc,SES_paroccup,SES_dichotmous,SES_composite,SES_combined,sample_size,avg_age,discipline,discipline_econ,discipline_social_science,discipline_psychology,country_level,country,Asia,south_AM,north_AM,Europe,GINI,over_omited_var,prior_AA_control,>1_avgSESvar,fixed_effects,primary,PISA data,OECD,...55
x,NA,1 = we decided to include the study,AA,year when the study was published -,"(year when the study was published - publication year, maybe transformation such as ln(publication year of a study - sample minimum + 1) would be convenient",original effect reported in a study,stamdard error of the reported variable,reported t stat for studied variable,type of method:  production function model/OLS/tbd,study uses  CML,study uses OLS,study uses |HLM,lower 95% confidence interval of the original estimate,upper 95% confidence interval of the original estimate,lower 95% confidence interval,upper 95% confidence interval,"standardized - original estimates were regression coefficients of average SES on test scores, we linearly transform those, so that they now refer to the effect on standardized test scores of increasing the average peer froup SES by one individual-level standard deviation ( NOT effect of going up one standard deviation in the school average SES distibution. Because standard deviation of school average SES depends on degree of segregation and thus result would be hardly imcomparable). SE underwent the same linear transformation.","standard error of the effect (recalculated to a standardized measure, if necessary)",= effect/standard_error,suggestion for standardisation,type of achievement test,type of achievement test,type of achievement test,type of achievement test,Standard deviation  of SES variable - important as we need to recalc results,"at which level is average SES measured 1 if class, if 0 - cohort/school","Type of average SES-variable(s) (Dich/ composite/occup) - -fatheduc, motheduc, f athoc, mother ocupation,  home resources",if SES variable reflects home resources,"whether SES variable includes parental income 1 if yes, 0 otherwise","whether SES variable captures occupation of parents 1- if yes, 0 otherwise",1 if the measure is dichotmous,whether SES is measured as composite,whether SES variable captures more variables at the same time,number of observations used to estimate the effect,average student age,Soc/Ec/PS,1 if study comes from field of economics,1 if study comes from field of social science,1 if study comes from field of psychology,1 if data is agregated on a 1 country level,country,0,0,0,1 if country in in Europe,"gini coefficient of the country / taken from world bank database, % OECD estimates excluded because of lack of avalabilitz of gini coefficient",=1 if study attempts to overcome omitted vars bias,=1 if a study controls for prior attainment - it includes it as a covariate,= 1 if >1 average SES-var. in one model,1 if authors accoun for school fixed effects (this should decrase the effect significantly),"1 if study of peer effects is a primary concern - if it is so, we would expect authors to account more for potential biases",1 if study uses PISA data as source of information,whether study is published by OECD,NA
Ammermueller,1,1,"Ammermueller & Pischke, 2009",2009,1.3802112417116059,18.829999999999998,3.83,4.9164490861618795,OLS,0,1,0,11.323199999999998,26.336799999999997,8.6622480000000002E-2,0.20147651999999999,0.1440495,2.9299500000000003E-2,4.9164490861618795,60,1,0,0,0,0.45900000000000002,1,home_resources,1,0,0,0,0,0,7633,10,Econ,1,0,0,1,Germany,0,0,0,1,31.7,1,0,0,0,1,0,0,NA
Ammermueller,2,1,"Ammermueller & Pischke, 2009",2009,1.3802112417116059,25.67,3.94,6.5152284263959395,OLS,0,1,0,17.947600000000001,33.392400000000002,0.17714514285714289,0.3295873246753247,0.25336623376623379,3.8888311688311687E-2,6.5152284263959404,65.45,1,0,0,0,0.64600000000000002,1,home_resources,1,0,0,0,0,0,3538,10,Econ,1,0,0,1,France,0,0,0,1,30.7,1,0,0,0,1,0,0,NA
Ammermueller,3,1,"Ammermueller & Pischke, 2009",2009,1.3802112417116059,22.75,5.58,4.0770609318996414,OLS,0,1,0,11.8132,33.686799999999998,6.712442734536847E-2,0.19141360165729507,0.12926901450133177,3.1706422018348626E-2,4.0770609318996414,67.58,1,0,0,0,0.38400000000000001,1,home_resources,1,0,0,0,0,0,3676,10,Econ,1,0,0,1,Iceland,0,0,0,1,26.1,1,0,0,0,1,0,0,NA
Ammermueller,4,1,"Ammermueller & Pischke, 2009",2009,1.3802112417116059,22.72,6.99,3.2503576537911298,OLS,0,1,0,9.0195999999999987,36.420400000000001,0.10831188097768324,0.43735443145589797,0.27283315621679061,8.3939426142401713E-2,3.2503576537911294,56.46,1,0,0,0,0.67800000000000005,1,home_resources,1,0,0,0,0,0,4112,10,Econ,1,0,0,1,Netherlands,0,0,0,1,26,1,0,0,0,1,0,0,NA
Ammermueller,5,1,"Ammermueller & Pischke, 2009",2009,1.3802112417116059,12.73,7.85,1.6216560509554141,OLS,0,1,0,-2.6559999999999988,28.116,-1.2811618257261397E-2,0.13562178423236512,6.1405082987551866E-2,3.7865663900414931E-2,1.6216560509554143,77.12,1,0,0,0,0.372,1,home_resources,1,0,0,0,0,0,3459,10,Econ,1,0,0,1,Norway,0,0,0,1,27.7,1,0,0,0,1,0,0,NA
Ammermueller,6,1,"Ammermueller & Pischke, 2009",2009,1.3802112417116059,21.94,3.75,5.8506666666666671,OLS,0,1,0,14.590000000000002,29.29,0.10936569105691057,0.21955593495934961,0.16446081300813009,2.8109756097560976E-2,5.8506666666666671,61.5,1,0,0,0,0.46100000000000002,1,home_resources,1,0,0,0,0,0,6044,10,Econ,1,0,0,1,Sweden,0,0,0,1,28.9,1,0,0,0,1,0,0,NA
Ammermueller,7,1,"Ammermueller & Pischke, 2009",2009,1.3802112417116059,7.22,6.4,1.1281249999999998,OLS,0,1,0,-5.3240000000000007,19.763999999999999,-4.0728600000000004E-2,0.15119460000000001,5.5233000000000004E-2,4.8960000000000004E-2,1.128125,60,1,0,0,0,0.45900000000000002,1,home_resources,1,0,0,0,0,0,7633,10,Econ,1,0,0,1,Germany,0,0,0,1,31.7,1,0,0,1,1,0,0,NA
Ammermueller,8,1,"Ammermueller & Pischke, 2009",2009,1.3802112417116059,17.8,12.58,1.4149443561208268,OLS,0,1,0,-6.8567999999999998,42.456800000000001,-6.7677506493506456E-2,0.41905412987012985,0.1756883116883117,0.12416623376623376,1.4149443561208268,65.45,1,0,0,0,0.64600000000000002,1,home_resources,1,0,0,0,0,0,3538,10,Econ,1,0,0,1,France,0,0,0,1,30.7,1,0,0,1,1,0,0,NA
Ammermueller,9,1,"Ammermueller & Pischke, 2009",2009,1.3802112417116059,8.81,11.18,0.78801431127012533,OLS,0,1,0,-13.1028,30.722799999999999,-7.4452133767386797E-2,0.17457169576797871,5.0059781000295948E-2,6.3526487126368755E-2,0.78801431127012522,67.58,1,0,0,0,0.38400000000000001,1,home_resources,1,0,0,0,0,0,3676,10,Econ,1,0,0,1,Iceland,0,0,0,1,26.1,1,0,0,1,1,0,0,NA
