"","V1"
"1",0.658079985599329
"2",0.884165468136477
"3",0.985124234374447
"4",0.773394025345573
"5",1.35362314207298
"6",0.860551579331793
"7",1.10825366136533
"8",0.989454074318471
"9",0.912579786475646
"10",0.963215109237335
"11",0.928824321392473
"12",0.890258303956277
"13",0.590387775205275
"14",0.937163464569516
"15",1.07262501731569
"16",0.88132195047459
"17",1.01073369520236
"18",0.916279587730062
"19",0.724512777324288
"20",0.710288564375673
"21",1.09712553199921
"22",0.676943163882463
"23",0.636976590627828
"24",0.95376099348972
"25",0.685082009312461
"26",0.676111017648891
"27",0.939222336715742
"28",1.42844531371759
"29",0.85368023922217
"30",0.835371990800685
"31",0.768649755353729
"32",0.67463915095122
"33",0.815748007571245
"34",0.989370336082889
"35",1.24984488475669
"36",0.946748933845326
"37",0.577356899684701
"38",0.873796494160265
"39",1.19064134872118
"40",1.11597096559469
"41",1.08381224998119
"42",0.811817038630451
"43",0.873652681101666
"44",1.07495914949266
"45",1.21682992447816
"46",0.782909677194737
"47",0.963705240055076
"48",0.980603531131318
"49",0.942588472795153
"50",0.864394760952739
"51",0.782180724537855
"52",1.43408163319015
"53",1.09604547154543
"54",0.569260036543137
"55",1.07752303486517
"56",0.891256247213757
"57",1.44737113108731
"58",1.01558403637065
"59",1.22678116144008
"60",0.887004016032312
"61",0.859854878505098
"62",0.991328211155246
"63",1.17486469461597
"64",1.21417246506758
"65",1.12432922392264
"66",1.05298075274462
"67",1.13445638504264
"68",0.815045617283172
"69",0.927612430890615
"70",1.43798251116932
"71",0.994959180401247
"72",1.28948489573555
"73",0.90936131792515
"74",0.977725072130888
"75",0.87511262319623
"76",0.820599492110775
"77",1.62112417546293
"78",1.14951500084219
"79",0.700877557937645
"80",0.746268924306835
"81",1.02520351928466
"82",0.882715434479052
"83",0.822827228907352
"84",0.674768389076239
"85",1.19164415990124
"86",0.816520880445794
"87",1.44145825027909
"88",1.39267457432731
"89",0.860724289486794
"90",1.53136613416796
"91",1.20999705078964
"92",0.800040886626785
"93",0.699572050366777
"94",1.20483626863203
"95",1.34792187523344
"96",0.997759197932326
"97",1.12826582601621
"98",1.23005363071501
"99",1.45592594145724
"100",0.654994780080518
"101",0.678314174615185
"102",1.11654323808773
"103",0.963646941637935
"104",0.743384671392575
"105",0.751345246172594
"106",1.01484382491287
"107",0.74443521153147
"108",0.908764607609803
"109",0.676148428693776
"110",0.884818821030048
"111",0.807228168608836
"112",0.693767562536043
"113",0.682156221928139
"114",1.25700106763542
"115",1.41485527693055
"116",0.961904639912873
"117",0.942335126361273
"118",0.729945343583019
"119",0.812766217089446
"120",0.971457534852222
"121",0.863352665595999
"122",1.37042856896858
"123",0.910180355834478
"124",0.843635307547104
"125",1.2264563479344
"126",1.30023346891507
"127",1.08709007329512
"128",1.01503856525836
"129",1.01465664202922
"130",0.849726683683533
"131",1.21078541951425
"132",1.68495861926954
"133",1.13678237662566
"134",1.2990990681378
"135",1.26500987652413
"136",1.56712099750418
"137",1.34460236465154
"138",0.716952697897359
"139",1.05743585854788
"140",0.934571660509768
"141",0.54254059616614
"142",0.893684596394785
"143",1.50120947970359
"144",0.791320138262526
"145",1.31563800847055
"146",0.718289500447943
"147",1.01539916167063
"148",1.02937760151774
"149",1.11261550652734
"150",1.28470706078317
"151",0.737872913036326
"152",0.828783082915459
"153",0.831917312963033
"154",0.727705099753742
